"","Participant","Gender","Instrument","Age","DFS_Flow","DFS_Balance","DFS_Merging","DFS_Goals","DFS_Feedback","DFS_Concentration","DFS_Control","DFS_Consciousness","DFS_Time","DFS_Autotelic","F1_Flow","F1_Balance","F1_Merging","F1_Goals","F1_Feedback","F1_Concentration","F1_Control","F1_Consciousness","F1_Time","F1_Autotelic","F2_Flow","F2_Balance","F2_Merging","F2_Goals","F2_Feedback","F2_Concentration","F2_Control","F2_Consciousness","F2_Time","F2_Autotelic","F3_Flow","F3_Balance","F3_Merging","F3_Goals","F3_Feedback","F3_Concentration","F3_Control","F3_Consciousness","F3_Time","F3_Autotelic","Flow_average","NF1_Flow","NF1_Balance","NF1_Merging","NF1_Goals","NF1_Feedback","NF1_Concentration","NF1_Control","NF1_Consciousness","NF1_Time","NF1_Autotelic","NF2_Flow","NF2_Balance","NF2_Merging","NF2_Goals","NF2_Feedback","NF2_Concentration","NF2_Control","NF2_Consciousness","NF2_Time","NF2_Autotelic","NF3_Flow","NF3_Balance","NF3_Merging","NF3_Goals","NF3_Feedback","NF3_Concentration","NF3_Control","NF3_Consciousness","NF3_Time","NF3_Autotelic","NF_average","GMSI_F1","GMSI_F2","GMSI_F3","GMSI_F4","GMSI_F5","GMSI_FG","tot_tei","well_being","self_control","emotionality","sociability","Extrav","Agree","Consc","Emot","Open","Age_start_musical_education","Hours_practice","Age_start_main_instrument","Years_played","Prize_won","Number_prizes","Music_perf_degree","Undergrad_Postgrad","Music_perf_degree_past","Flow_liking","Flow_familiarity","Non_liking","Non_familiarity","Comments","Q8a","GoldMSI_hours","delta","theta","alpha_lower","alpha_upper","beta","gamma_lower","gamma_upper","DF_tw1","DF_tw2","DNF_tw1","DNF_tw2","A2F_tw1","A2F_tw2","A2NF_tw1","A2NF_tw2","BF_tw1","BF_tw2","BNF_tw1","BNF_tw2","GF_tw1","GF_tw2","GNF_tw1","GNF_tw2","Flow_NF_Difference","RFlow_NF","NFlow_NF","DF_60s_1","DNF_60s_1","A2F_60s_1","A2NF_60s_1","BF_60s_1","BNF_60s_1","GF_60s_1","GNF_60s_1","DF_DNF","AF_ANF","BF_BNF","GF_GNF","logA2F_tw1","logA2F_tw2","logA2NF_tw1","logA2NF_tw2","logBF_tw1","logBF_tw2","logBNF_tw1","logBNF_tw2","logGF_tw1","logGF_tw2","logGNF_tw1","logGNF_tw2","logA2F_60s_1","logA2NF_60s_1","logA2F_A2NF_60s_1","RDFS_Flo","NDFS_Flo","FminusNFA2t1","FminusNFA2t2","FminusNFDt1","FminusNFDt2","FminusNFBt1","FminusNFBt2","FminusNFGt1","FminusNFGt2","FminusNFlogGt2","FminusNFlogBt2","logDF_tw1","logDF_tw2","logDNF_tw1","logDNF_tw2","FminusNFlogDt1","RFlow_av","NFlow_av","RNF_aver","NNF_aver","FMTheta_rel","flow_right_cluster","nonflow_right_cluster"
"35","RC",2,"Acoustic Guitar",24,3.555555556,4,3,3.75,4,3.5,3.75,2,4,4,3.333333333,3.5,4,3.75,3.75,3.25,3.5,2.75,2.5,3,3.805555556,3.5,4,4,3.75,3.75,3.75,3.75,4,3.75,3.944444444,4,4,4,4,3.5,4,4,4,4,3.69444444433333,2.722222222,2.75,2.25,2.25,2.5,3.25,2.25,3,3.75,2.5,2.638888889,2.25,2.25,2,3.5,2.5,2.25,4,2.75,2.25,2.472222222,2,2,2,3.25,2.5,2.5,4,2,2,2.611111111,53,54,32,37,34,100,5.33333333333333,5.66666666666667,5,5.75,4.66666666666667,3,5.5,5,6,6,15,2,15,9,2,0,2,0,2,7,7,5,3,"",14,6,0.0602185495251104,0.0179552676112871,-0.00623817670510922,0.234017534193602,-0.120611855659482,-0.460590405664016,-0.805783315682617,8.71799528472108,9.30172392750803,10.804090754366,8.90974482462402,2.12258298519529,2.21376813153905,1.20286308721424,1.79097605712987,0.335797268139026,0.288757758620714,0.267723926091642,0.353796901350014,0.118167322623328,0.178933147410271,0.207810963122056,0.289118589977069,1.08333333333333,6,1,9.14372972615294,10.1597571456466,2.13649252305785,1.43530651492094,0.306844776183156,0.300912856348487,0.156216344283116,0.237519483923131,-1.01602741949366,0.70118600813691,0.00593191983466895,-0.081303139640015,0.326864678566341,0.345132131237142,0.0802161977046026,0.253089779971933,-0.473922841363463,-0.539466337901894,-0.572312814822604,-0.451245975079443,-0.927502604389003,-0.747309198818425,-0.682331544854773,-0.5389239828195,0.329701377284084,0.156944656138921,0.172756721145163,29,2,0.91971989798105,0.42279207440918,-2.08609546964492,0.39197910288401,0.068073342047384,-0.0650391427293,-0.089643640498728,-0.110185442566798,-0.208385215998924,-0.0882203628224518,0.940416629786027,0.96856344563141,1.03358822360453,0.949865266007172,-0.0931715938185029,34,2,44,2,1.40837232670684,-0.040906799,0.021341176
"36","RN",2,"Horn",23,3.916666667,4,4,3.75,4,4,3.75,4,3.75,4,4.694444444,4,4.75,5,5,5,4.5,5,4,5,4.75,4.75,4.75,5,5,4.75,4.5,5,4,5,4.5,4,5,5,5,4.25,4.5,5,3.5,4.25,4.648148148,3.805555556,4,5,4.5,4.5,3.25,4,4.25,2.25,2.5,4,4,4.75,4.5,5,3.5,4.25,4,3,3,4.111111111,4,5,5,5,3.5,4.75,5,2.25,2.5,3.97222222233333,48,58,46,32,43,108,5.06666666666667,5.83333333333333,4.66666666666667,5.25,4.33333333333333,4,4.5,3.5,6,6,9,1.5,13,10,1,2,2,0,2,9,9,7,10,"",4.5,6,-0.125829993680189,0.144896343291573,0.017016287665013,0.0264499419702261,0.0332897278649926,-0.121584749899697,-0.278829352143472,12.408121512303,9.91464800593718,7.47831863518625,12.8908726475921,1.68940205868149,2.14271111740712,2.25594770251695,1.38024143090221,0.161743362752749,0.231967392487007,0.364705077954534,0.151345997704687,0.0670165712165458,0.0642670218796317,0.0907444132362701,0.0399002549525097,0.675925925666667,24.5,2,11.6773582778309,11.7506092687498,1.83630677489273,1.65317371428512,0.183087602257674,0.205777301577945,0.0655794684258332,0.0607302690205407,-0.0732509909189005,0.18313306060761,-0.022689699320271,0.00484919940529251,0.227733019072071,0.330963622944321,0.353329027593412,0.139955059544516,-0.791173531858634,-0.63457305932563,-0.438058189764693,-0.82002905933081,-1.17381779583567,-1.19201182473888,-1.04218010321027,-1.39902432927279,0.263945236513192,0.218318491315888,0.0456267451973036,12,1,-0.56654564383546,0.76246968650491,4.92980287711675,-2.97622464165492,-0.202961715201785,0.08062139478232,-0.0237278420197243,0.024366766927122,0.207012504533908,0.185456000005181,1.09370603785715,0.996277300307058,0.873803965572817,1.11028231791243,0.219902072284334,2,1,3,1,1.75181161525488,0.055590282,-0.09089863
"37","RS",1,"Piano (pop)",23,4.861111111,5,4.75,4,5,5,5,5,5,5,4.444444444,4,4,4,5,4.75,4,5,5,4.25,4.694444444,4,4.75,4.25,5,5,4.5,5,5,4.75,4.333333333,4,4,4,5,4.25,4,5,4.5,4.25,4.49074074033333,3.694444444,4,3.25,3,5,4,3.25,5,2,3.75,3.277777778,4,2.5,3,5,2.25,3,5,2,2.75,3.666666667,4,3.25,3,5,3,3.25,5,3,3.5,3.54629629633333,52,58,40,39,40,106,4.96666666666667,6.16666666666667,4.16666666666667,5.125,4.66666666666667,4,6,4,6,5.5,4,0.357,4,20,2,0,2,0,2,9,8,8,7,"",2.5,3,-0.0630682723286356,0.0229025354102235,0.203349451435658,0.184070425569123,0.195688558467301,0.02884197931131,-0.0218410986855728,11.8085595664017,12.5982452050137,13.9981149696038,13.5356308805962,2.69080547887365,2.35952549534983,1.45611473578769,1.7936013264426,0.31024020723083,0.237661656975886,0.193087584217737,0.187936784569871,0.168485302459575,0.101770093561697,0.117334263126655,0.0845692792749417,0.944444444000001,12,1,12.3777822029508,14.0445447697624,2.50191586026358,1.49548085425555,0.26200402716531,0.171039743074713,0.131901038917782,0.0963182086964139,-1.6667625668116,1.00643500600803,0.090964284090597,0.0355828302213681,0.429882303298772,0.37282467438078,0.163195596924996,0.253725916429806,-0.508301918170038,-0.624040879302548,-0.714245651021648,-0.72598820780688,-0.773437978110767,-0.992379826216506,-0.930575149742875,-1.07278737058231,0.398272700226436,0.174780857391147,0.223491842835288,1.5,1,1.23469074308596,0.56592416890723,-2.1895554032021,-0.937385675582499,0.117152623013093,0.049724872406015,0.05115103933292,0.0172008142867553,0.0804075443658079,0.101947328504331,1.0721969246655,1.10031005695464,1.14606955614835,1.13147850255768,-0.0738726314828557,7,1,11,1,2.43096382323935,0.062924608,-0.040167066
"38","RT",1,"Piano",22,2.972222222,3,3,3.25,3.75,3,3,2,2.75,3,3.444444444,3,3,3.5,3.5,4,3.75,3,4,3.25,3.888888889,4,4,4,4,4,4,3,4,4,4.722222222,4.75,4.5,4.5,5,5,4.75,4,5,5,4.01851851833333,2.361111111,2,2,2.5,3,2.25,2.5,2,2.75,2.25,2.916666667,3,2.25,3,4,3,3,2,3,3,3.083333333,3,3,3.75,4,3,3,2,3,3,2.787037037,44,47,41,34,31,85,4.76666666666667,4.5,4.66666666666667,5.5,4.5,3,5,4,3.5,4.5,5,4.5,5,17,1,1,1,1,3,9,9,6,7,"",31.5,7,0.0563038883634905,0.0191510791966658,0.00134943411591499,-0.0942403080552118,-0.0919490468641713,-0.332206118376681,-0.610352277321544,9.96925415583575,6.18426554905385,7.37841501724711,7.24259410885376,0.919036226897945,1.19472533130054,1.55442276751965,1.10297971657001,0.262177817016098,0.314327043082161,0.322186220354739,0.296593079998929,0.267334177706002,0.2378742143009,0.329600031114548,0.274003677804204,1.23148148133333,5,1,8.6778185703718,7.51034832850825,1.03049046802753,1.32232927594218,0.2777572652063,0.304007702195149,0.253129055667923,0.30073585662309,1.16747024186355,-0.29183880791465,-0.026250436988849,-0.047606800955167,-0.0366673691016117,0.0772680719690136,0.19156914871868,0.0425675259826064,-0.581404056944392,-0.502618252911416,-0.491893037944958,-0.527838985989158,-0.572945514717999,-0.623652633178269,-0.482012755977119,-0.562243607838912,0.0130439789369772,0.121339613181794,-0.108295634244817,43,2,-0.635386540621705,0.09174561473053,2.59083913858864,-1.05832855979991,-0.060008403338641,0.017733963083232,-0.062265853408546,-0.036129463503304,-0.0614090253393565,0.0252207330777418,0.998662668028668,0.791288129683344,0.867963079547766,0.859894147050166,0.130699588480902,23,2,41,2,2.51135434339688,0.007389896,0.151914979
"39","SNPH",2,"Piano",23,4.611111111,5,5,5,5,4,4.25,4.75,4.5,4,4.722222222,5,5,5,5,5,5,4.25,4.25,4,4.694444444,5,5,5,5,5,5,4.5,4.25,3.5,4.416666667,5,4.5,5,5,4.75,4.5,5,3.75,2.25,4.611111111,3.666666667,3.75,3.25,4,4,4.25,3.5,4.25,3,3,3.694444444,4,3.75,4,4,4,3.5,4,3,3,3.861111111,4,4,4,4,4.5,4.25,4,3,3,3.74074074066667,52,60,46,24,39,104,4.73333333333333,6.16666666666667,4.16666666666667,3.875,4.33333333333333,5,4,4.5,3.5,5.5,3,4,4,19,1,1,1,1,3,8,10,6,6,"",4,7,0.15634218615682,0.259505896155472,0.243701972721765,0.127952309902874,0.0369644270442662,-0.356735136717024,-0.454602210816218,13.3346203065695,12.199577491654,13.0879972568796,9.53347223202324,0.515510034841925,1.20623670577488,0.511032048264051,1.46096475216067,0.185345490252348,0.248631511379351,0.204469164399664,0.377703652399818,0.40287217973312,0.53888291016263,0.774366813218678,0.769789102419447,0.870370370333333,15.5,1,12.8641325519722,12.1862098567723,0.77472316742274,0.838162309920846,0.210931062761797,0.250602912075286,0.475812295941398,0.774417965964186,0.6779226951999,-0.063439142498106,-0.039671849313489,-0.298605670022788,-0.287762876386172,0.0814325399141894,-0.291551863176849,0.164639738092557,-0.732017976574516,-0.604443830035061,-0.689372177831759,-0.422848815518206,-0.394832721704569,-0.268505589162843,-0.111053267715209,-0.113628241322228,-0.110853456640202,-0.0766718722082364,-0.0341815844319657,4.5,1,0.00447798657787402,-0.25472804638579,0.2466230496899,2.66610525963076,-0.019123674147316,-0.129072141020467,-0.371494633485558,-0.230906192256817,-0.154877347840615,-0.181595014516854,1.12498065398845,1.08634479000092,1.11687319530324,0.979251105943835,0.00810745868520613,4,1,8,1,1.25781947224609,0.017072993,-0.172974911
"40","SS01",1,"Piano",22,3.805555556,4,3.75,4,5,3,4,4,2.25,4.25,4.333333333,4.25,4.5,4.5,5,5,4.25,3.75,2.75,5,4.555555556,4.75,4.75,5,5,4,5,5,2.5,5,4.666666667,5,5,5,5,5,5,5,2,5,4.51851851866667,3.555555556,4,2.75,4,4.75,5,2.75,4,1.25,3.5,3.805555556,4,3.75,4,5,4.75,3.5,4,1.25,4,3.277777778,4,3.25,3.75,4,3,3.25,4,1.25,3,3.54629629666667,38,56,42,33,34,99,5.63333333333333,6.5,5.5,5.5,4.5,5.5,5.5,7,7,6.5,4,0.2142,7,15,2,0,2,0,1,10,10,10,7,"",1.5,5,-0.105044012932952,0.077712285818609,0.305362148837707,0.277720563043884,0.0949186765434465,0.0148377698902921,0.00217781567232782,8.58443641130941,8.54538234539114,11.1509997035867,7.99722188891018,2.38852841586192,2.04486253473466,2.19666864963387,2.51739915225748,0.263037511842809,0.197409647887568,0.153996509426084,0.202202158009761,0.222488822213618,0.138982209790482,0.0724350058642989,0.0560760680004924,0.972222222,11,1,8.55635123795695,10.0042245176814,2.20385060395905,2.29142304172809,0.232904083422279,0.171071309340356,0.188074618303728,0.0649181425481284,-1.44787327972445,-0.0875724377690399,0.061832774081923,0.1231564757556,0.378130412367801,0.310664118009465,0.341764551918957,0.40095208161082,-0.579982312253064,-0.704631626124625,-0.812489123021789,-0.694214213696898,-0.652691802988159,-0.857040787402697,-1.14005150038372,-1.25122244628171,0.343182150944139,0.360105275888431,-0.0169231249442919,17,1,0.19185976622805,-0.47253661752282,-2.56656329227729,0.54816045648096,0.109041002416725,-0.00479251012219298,0.150053816349319,0.0829061417899896,0.394181658879015,-0.0104174124277274,0.933711787966025,0.931731499096394,1.04731380427107,0.902939146010062,-0.113602016305048,6,1,10,1,1.67399666850358,0.006720626,-0.034463692
"41","SWS",1,"Piano",23,3.722222222,3.25,3.75,3.75,4,4,3,4,3.75,4,3.916666667,4,4.25,4.25,3.5,4,3.25,4,4,4,4.083333333,4,4.25,4.25,4.25,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4.33333333333333,2.972222222,2,2.5,3,4,3.5,2,4,2.5,3.25,3.333333333,2,2.5,4,4,3.5,2,4,4,4,3.555555556,2.5,3.25,4,4,3.75,2.5,4,4,4,3.287037037,40,50,44,36,31,94,5.2,5.66666666666667,3.83333333333333,5.75,4.83333333333333,5.5,4.5,6.5,3.5,5,3,0.571,3,20,1,2,1,2,1,9,8,9,5,"",4,6,0.431837242073263,0.0484966563302436,0.0111899041054368,-0.091397777750938,-0.171735844363006,-0.315277329406523,-0.467823148309416,9.75796112758536,12.667643022704,11.3078839669339,10.0665053992762,2.73017107624084,1.34675641124283,2.72450190565098,1.9002050787144,0.305313267180911,0.146468036939724,0.186648240061593,0.223797663344919,0.157497600919043,0.0838455064626899,0.109860885797953,0.100192810418455,1.04629629633333,7.5,1,11.7937586240916,10.9334504282857,1.873730446132,2.33236261172602,0.196604566040368,0.196530165691002,0.119736288014743,0.10550584548018,0.860308195805899,-0.45863216559402,7.44003493659828e-05,0.014230442534563,0.436189861377585,0.129289051684676,0.43528711600721,0.278800474504262,-0.515254323319192,-0.834257139099824,-0.728976100755851,-0.650144452221009,-0.802726057211248,-1.07652020760472,-0.959156903625126,-0.999163441219443,0.272707113671528,0.367796070970915,-0.0950889572993863,21,1,0.00566917058986016,-0.55344866747157,-1.54992283934854,2.6011376234278,0.118665027119318,-0.077329626405195,0.04763671512109,-0.0163473039557651,-0.0773567663852744,-0.184112686878816,0.989359083697461,1.102695816347,1.05338134343449,1.00287873081046,-0.0640222597370297,10,1,27,2,1.76095793347985,0.027387548,0.014802039
"42","TG",2,"Violin",28,3.75,4,3,4.75,4.5,3.75,3.5,2,4,4.25,3.694444444,4,2.5,4.75,4.25,3.25,3.5,4,3,4,3.75,4,3,4.5,4.25,3.25,3.75,4,3,4,3.722222222,4,3.25,4.75,4,3,3.5,4,3,4,3.722222222,3.194444444,2.5,2,4,4,3,2.5,4,3,3.75,3.555555556,3.75,2,4,4,3.5,3.75,4,3,4,3.166666667,2.5,2,4,4,3.25,2.75,4,3,3,3.30555555566667,51,55,44,40,35,103,5.3,5.33333333333333,4.5,5.75,5.33333333333333,5,6,5.5,6,5.5,4,4.5,6,22,2,0,1,2,1,8,9,5,6,"",31.5,7,0.0246118403883523,-0.0323331528020009,0.117597953873779,0.00186453649895308,-0.0743226953170874,0.0299830183895226,0.130524268017768,12.3976994339457,11.1370266749653,13.8134085581514,13.19958124403,1.0956132563132,2.0905802964443,0.840067663123728,1.41342005549513,0.206398867347292,0.295463857016988,0.116587780812316,0.144018923220007,0.253388211409205,0.185972881174583,0.203569942906858,0.221186683112332,0.416666666333334,30,2,11.8918879936173,13.6541709729018,1.53355650532701,0.993575931160632,0.244531563757012,0.117663594547417,0.223415497401971,0.207050557522752,-1.7622829792845,0.539980574166378,0.126867969209595,0.016364939879219,0.0396572783362537,0.320266852887614,-0.0756857323455024,0.150271249373689,-0.685292690311157,-0.529495637145168,-0.933346964189913,-0.841580440473563,-0.59621359402647,-0.730550380593387,-0.69128634516303,-0.655241023953812,0.185699782600613,-0.00279893758892317,0.188498720189537,20,1,0.255545593189472,0.67716024094917,-1.4157091242057,-2.0625545690647,0.089811086534976,0.151444933796981,0.049818268502347,-0.035213801937749,-0.0753093566395755,0.312084803328396,1.09334110323985,1.04676925986703,1.14030085709723,1.12056015345647,-0.0469597538573725,33,2,25,2,2.32871348758883,0.031200777,-0.002561389
"43","TL",2,"Piano",22,4.277777778,3.75,4,5,4.75,4,4,5,4,4,4.527777778,4,4.5,5,5,5,4.5,5,4,3.75,3.361111111,3,2.75,4.75,5,3.25,3,2.5,4,2,4.25,4,4,4.5,5,4,4,4.75,4,4,4.04629629633333,3.722222222,3,3.75,3.75,4,4,4,4,3.75,3.25,4.027777778,3.25,4,4.25,5,4.75,4,5,3,3,3.916666667,3.25,4,5,5,4,4,5,2,3,3.888888889,36,50,29,35,30,78,4.7,5.33333333333333,4,4.375,5,4.5,4.5,6,4,6,14,0.1,14,8,2,0,2,0,2,8,9,6,7,"",1,2,0.011274259962517,0.0622385517129692,-0.0860007827404885,-0.0461994464290274,0.0434098259492308,0.111467245179848,0.0398310006086432,12.8117394904882,12.0216610127452,10.9920093772906,11.7438976217552,1.23272704452619,1.23927281685909,1.42894315942348,1.18753266380715,0.192427486471262,0.196208460587096,0.285899101508814,0.259347701283708,0.617026786647552,0.993100304903376,0.693324595341605,0.955471135637375,0.157407407333334,38,2,12.728413155764,11.5332868818645,1.09560641887522,1.30205944776239,0.18375952835126,0.265692840331249,0.834844165815462,0.874883214933923,1.1951262738995,-0.20645302888717,-0.081933311979989,-0.040039049118461,0.0908669239767073,0.0931669236593146,0.155014953745697,0.0746455639946794,-0.715732892952078,-0.707282269600985,-0.54378720949118,-0.586117597002285,-0.20969598176789,-0.00300688477142966,-0.159063393149455,-0.0197824282560199,0.0396545680086506,0.114630813145982,-0.0749762451373318,7.5,1,-0.19621611489729,0.0517401530519401,1.8197301131976,0.27776339099,-0.093471615037552,-0.063139240696612,-0.076297808694053,0.037629169266001,0.0167755434845903,-0.1211646725987,1.10760809928669,1.07996447755292,1.04107709021255,1.06981225659613,0.0665310090741391,21,1,4,1,2.214687992562,-0.035387564,-0.057095548
"44","WPL",2,"Guitar/voice",36,3.583333333,4,3.75,3.75,3.75,3.5,3.25,3.5,3,3.75,4.166666667,4,4,4,4,4.5,4,4,4,5,4.194444444,4,4.25,4.25,3.75,4.25,4,4,4.25,5,4,4,4.25,4,3.75,4,4,4,4,4,4.12037037033333,2.944444444,3,3.5,3.25,2.25,3,3.5,3.5,2.25,2.25,3.333333333,3.5,4,4,3.25,4,3.5,2.75,2.25,2.75,3.583333333,3.75,4,3.75,3,4,3.75,4,3,3,3.28703703666667,47,49,41,34,36,96,5.16666666666667,5.83333333333333,4.83333333333333,5.25,4.66666666666667,5.5,6.5,4.5,5,7,7,1.5,7,29,2,0,2,0,1,9,9,3,8,"",10.5,5,0.0978711572891723,-0.0972861446064056,-0.164398118606818,-0.296546861913261,-0.327905674528641,-0.25494699320749,-0.341712170358624,13.7538999762443,14.2055489190439,14.2080938199385,12.3844726245126,1.24851436780791,0.729469095152006,1.31266282408991,1.88217353675146,0.146874854137566,0.100293186436703,0.0947271056391477,0.199232668457371,0.182170432762498,0.251267477960571,0.1074328961458,0.453577076634135,0.833333333666666,17.5,1,14.1379462799161,13.4842412790431,0.867695906285603,1.37188639492159,0.107265080673899,0.135420576294773,0.217965155595446,0.409125133794461,0.653705000873,-0.504190488635987,-0.028155495620874,-0.191159978199015,0.096393544543825,-0.136993102796245,0.118153185767817,0.2746596629696,-0.83305255168483,-0.998728570403858,-1.02352573224142,-0.700639448203917,-0.739522109965152,-0.599863719351246,-0.968862716522124,-0.343348902401896,-0.0616324515072429,0.137318149197671,-0.198950600704914,27,2,-0.0641484562820001,-1.15270444159945,-0.454193843694199,1.8210762945313,0.0521477484984183,-0.098939482020668,0.074737536616698,-0.202309598673564,-0.25651481694935,-0.298089122199941,1.13842586165766,1.1524580200305,1.15253581620952,1.09287751749104,-0.0141099545518553,19,1,28,2,1.63283278946591,-0.07594099,0.084207657
